ExecutionId,CycleName,FolderName,"Issue Key","Test Summary",Project,Component,Version,Priority,"Executed By","Executed On",ExecutionStatus,ExecutionDefects,CreationDate,"Assigned To","Custom Fields","Work Flow Status","Total Execution Time","Total Logged Time",StepId,OrderId,Step,"Test Data","Expected Result","Step Result",Comments,"Step Custom Fields"
ba937292-d87c-4b9f-ac67-6516a8644555,Admin,,OR-2,"Checking the functionality of home page two features with valid data",Orangehrm,,Unscheduled,Medium,"Indu Rani","08-19-2022 10:35:33",PASS,,"08-19-2022 10:28:01","Indu Rani",,CREATED,,,c82c56e8-c8eb-445c-8594-9cd591e5b9f0,1,"click on admin",,"the page should list the following options user management,job,organisation,qualification,nationality,move",PASS,,
ba937292-d87c-4b9f-ac67-6516a8644555,Admin,,OR-2,"Checking the functionality of home page two features with valid data",Orangehrm,,Unscheduled,Medium,"Indu Rani","08-19-2022 10:35:33",PASS,,"08-19-2022 10:28:01","Indu Rani",,CREATED,,,a1c78bb0-a0e9-4566-b5c9-9ece0fa814c7,2,"click on user management",,"we should get an option users",PASS,,
ba937292-d87c-4b9f-ac67-6516a8644555,Admin,,OR-2,"Checking the functionality of home page two features with valid data",Orangehrm,,Unscheduled,Medium,"Indu Rani","08-19-2022 10:35:33",PASS,,"08-19-2022 10:28:01","Indu Rani",,CREATED,,,e69a2620-22cf-4ca5-8283-c1ae5e963acb,3,"click on job",,"we should get the following options 1job titles 2pay grades 3employment status 4job categories 5 work sheets",PASS,,
ba937292-d87c-4b9f-ac67-6516a8644555,Admin,,OR-2,"Checking the functionality of home page two features with valid data",Orangehrm,,Unscheduled,Medium,"Indu Rani","08-19-2022 10:35:33",PASS,,"08-19-2022 10:28:01","Indu Rani",,CREATED,,,5a398447-c98e-4ba3-99b2-6a0af0da903b,4,"click on the option organisation",,"we should get the following options 1 general information 2 locations 3structure",PASS,,
ba937292-d87c-4b9f-ac67-6516a8644555,Admin,,OR-2,"Checking the functionality of home page two features with valid data",Orangehrm,,Unscheduled,Medium,"Indu Rani","08-19-2022 10:35:33",PASS,,"08-19-2022 10:28:01","Indu Rani",,CREATED,,,739af3d5-a2e8-42c7-ba5b-7a0acb7a2d20,5,"click on qualifications",,"we should get the following options 1 skills 2education 3licenses 4languages 5membership",PASS,,
